GoodStudent_False,GoodStudent_True,Age_Adolescent,Age_Adult,Age_Senior,SocioEcon_Middle,SocioEcon_Prole,SocioEcon_UpperMiddle,SocioEcon_Wealthy,RiskAversion_Adventurous,RiskAversion_Cautious,RiskAversion_Normal,RiskAversion_Psychopath,VehicleYear_Current,VehicleYear_Older,ThisCarDam_Mild,ThisCarDam_Moderate,ThisCarDam_None,ThisCarDam_Severe,RuggedAuto_EggShell,RuggedAuto_Football,RuggedAuto_Tank,Accident_Mild,Accident_Moderate,Accident_None,Accident_Severe,MakeModel_Economy,MakeModel_FamilySedan,MakeModel_Luxury,MakeModel_SportsCar,MakeModel_SuperLuxury,DrivQuality_Excellent,DrivQuality_Normal,DrivQuality_Poor,Mileage_Domino,Mileage_FiftyThou,Mileage_FiveThou,Mileage_TwentyThou,Antilock_False,Antilock_True,DrivingSkill_Expert,DrivingSkill_Normal,DrivingSkill_SubStandard,SeniorTrain_False,SeniorTrain_True,ThisCarCost_HundredThou,ThisCarCost_Million,ThisCarCost_TenThou,ThisCarCost_Thousand,Theft_False,Theft_True,CarValue_FiftyThou,CarValue_FiveThou,CarValue_Million,CarValue_TenThou,CarValue_TwentyThou,HomeBase_City,HomeBase_Rural,HomeBase_Secure,HomeBase_Suburb,AntiTheft_False,AntiTheft_True,PropCost_HundredThou,PropCost_Million,PropCost_TenThou,PropCost_Thousand,OtherCarCost_HundredThou,OtherCarCost_TenThou,OtherCarCost_Thousand,OtherCar_False,OtherCar_True,MedCost_HundredThou,MedCost_Million,MedCost_TenThou,MedCost_Thousand,Cushioning_Excellent,Cushioning_Fair,Cushioning_Good,Cushioning_Poor,Airbag_False,Airbag_True,ILiCost_HundredThou,ILiCost_Million,ILiCost_TenThou,ILiCost_Thousand,DrivHist_Many,DrivHist_One,DrivHist_Zero
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
