source,target,edge_type,status
GoodStudent,Age,partial,accepted
Age,SocioEcon,tail-tail,accepted
Age,RiskAversion,partial,accepted
Age,DrivingSkill,partial,accepted
Age,SeniorTrain,directed,accepted
SocioEcon,Age,tail-tail,accepted
SocioEcon,VehicleYear,partial,accepted
SocioEcon,MakeModel,directed,accepted
SocioEcon,HomeBase,directed,accepted
SocioEcon,AntiTheft,tail-tail,accepted
SocioEcon,OtherCar,partial,accepted
RiskAversion,DrivQuality,partial,accepted
RiskAversion,SeniorTrain,directed,accepted
RiskAversion,HomeBase,partial,accepted
RiskAversion,AntiTheft,partial,accepted
RiskAversion,DrivHist,partial,accepted
VehicleYear,Antilock,partial,accepted
VehicleYear,CarValue,directed,accepted
VehicleYear,Airbag,directed,accepted
ThisCarDam,ThisCarCost,directed,accepted
RuggedAuto,MakeModel,partial,accepted
RuggedAuto,Cushioning,directed,accepted
Accident,ThisCarDam,directed,accepted
Accident,OtherCarCost,directed,accepted
Accident,ILiCost,directed,accepted
MakeModel,Antilock,tail-tail,accepted
MakeModel,CarValue,directed,accepted
MakeModel,Airbag,directed,accepted
DrivQuality,Accident,directed,accepted
DrivQuality,DrivingSkill,partial,accepted
Mileage,CarValue,partial,accepted
Antilock,MakeModel,tail-tail,accepted
DrivingSkill,DrivHist,partial,accepted
ThisCarCost,CarValue,tail-tail,accepted
ThisCarCost,PropCost,directed,accepted
CarValue,ThisCarCost,tail-tail,accepted
AntiTheft,SocioEcon,tail-tail,accepted
OtherCarCost,PropCost,directed,accepted
Cushioning,MedCost,directed,accepted
Airbag,Cushioning,directed,accepted
