source,target,edge_type,status
LVFAILURE,LVEDVOLUME,llm_resolved,accepted
LVFAILURE,STROKEVOLUME,llm_resolved,accepted
HISTORY,LVFAILURE,llm_resolved,accepted
LVEDVOLUME,CVP,directed,accepted
LVEDVOLUME,PCWP,directed,accepted
HYPOVOLEMIA,LVEDVOLUME,llm_resolved,accepted
HYPOVOLEMIA,STROKEVOLUME,llm_resolved,accepted
STROKEVOLUME,CO,directed,accepted
ERRLOWOUTPUT,HRBP,llm_resolved,accepted
HR,HRBP,directed,accepted
HR,HREKG,directed,accepted
HR,HRSAT,directed,accepted
HR,CO,directed,accepted
ERRCAUTER,HREKG,partial,accepted
ERRCAUTER,HRSAT,llm_resolved,accepted
ANAPHYLAXIS,TPR,llm_resolved,accepted
TPR,CATECHOL,tail-tail,accepted
TPR,BP,directed,accepted
ARTCO2,EXPCO2,directed,accepted
ARTCO2,CATECHOL,directed,accepted
VENTLUNG,EXPCO2,directed,accepted
VENTLUNG,MINVOL,directed,accepted
VENTLUNG,VENTALV,directed,accepted
VENTLUNG,INTUBATION,llm_resolved,accepted
INTUBATION,MINVOL,directed,accepted
INTUBATION,VENTALV,directed,accepted
INTUBATION,SHUNT,partial,accepted
MINVOL,PRESS,directed,accepted
FIO2,PVSAT,llm_resolved,accepted
PVSAT,SAO2,directed,accepted
VENTALV,ARTCO2,directed,accepted
VENTALV,PVSAT,directed,accepted
SHUNT,SAO2,directed,accepted
SHUNT,PULMEMBOLUS,partial,accepted
PULMEMBOLUS,PAP,llm_resolved,accepted
PRESS,KINKEDTUBE,llm_resolved,accepted
VENTTUBE,VENTLUNG,directed,accepted
VENTTUBE,PRESS,directed,accepted
VENTTUBE,VENTMACH,llm_resolved,accepted
VENTTUBE,DISCONNECT,llm_resolved,accepted
MINVOLSET,VENTMACH,llm_resolved,accepted
CATECHOL,HR,directed,accepted
CATECHOL,TPR,tail-tail,accepted
CO,BP,directed,accepted
