source,target,edge_type,status
Age,GoodStudent,directed,accepted
Age,RiskAversion,tail-tail,accepted
Age,SeniorTrain,tail-tail,accepted
SocioEcon,MakeModel,undirected,accepted
SocioEcon,HomeBase,partial,accepted
SocioEcon,AntiTheft,partial,accepted
SocioEcon,OtherCar,undirected,accepted
RiskAversion,Age,tail-tail,accepted
RiskAversion,DrivQuality,tail-tail,accepted
RiskAversion,SeniorTrain,directed,accepted
RiskAversion,HomeBase,directed,accepted
RiskAversion,AntiTheft,directed,accepted
RiskAversion,DrivHist,tail-tail,accepted
VehicleYear,Antilock,partial,accepted
VehicleYear,CarValue,partial,accepted
VehicleYear,Airbag,undirected,accepted
ThisCarDam,ThisCarCost,directed,accepted
RuggedAuto,MakeModel,undirected,accepted
RuggedAuto,Cushioning,partial,accepted
Accident,ThisCarDam,directed,accepted
Accident,OtherCarCost,directed,accepted
Accident,ILiCost,partial,accepted
MakeModel,SocioEcon,undirected,accepted
MakeModel,RuggedAuto,undirected,accepted
MakeModel,Antilock,partial,accepted
MakeModel,CarValue,partial,accepted
DrivQuality,RiskAversion,tail-tail,accepted
DrivQuality,Accident,directed,accepted
DrivQuality,DrivingSkill,partial,accepted
Mileage,CarValue,partial,accepted
DrivingSkill,DrivHist,partial,accepted
SeniorTrain,Age,tail-tail,accepted
ThisCarCost,PropCost,directed,accepted
CarValue,ThisCarCost,directed,accepted
OtherCarCost,PropCost,directed,accepted
OtherCar,SocioEcon,undirected,accepted
Cushioning,Airbag,partial,accepted
Airbag,VehicleYear,undirected,accepted
DrivHist,RiskAversion,tail-tail,accepted
