source,target,edge_type,status
Accident,ILiCost,directed,accepted
Accident,MedCost,tail-tail,accepted
Accident,OtherCarCost,directed,accepted
Accident,ThisCarDam,directed,accepted
Age,DrivingSkill,partial,accepted
Age,GoodStudent,directed,accepted
Age,RiskAversion,directed,accepted
Age,SeniorTrain,directed,accepted
Airbag,Cushioning,directed,accepted
Airbag,MakeModel,partial,accepted
Airbag,VehicleYear,partial,accepted
AntiTheft,SocioEcon,llm_resolved,accepted
Antilock,Accident,directed,accepted
Antilock,MakeModel,partial,accepted
Antilock,VehicleYear,partial,accepted
CarValue,Mileage,partial,accepted
CarValue,ThisCarCost,llm_resolved,accepted
Cushioning,MedCost,directed,accepted
DrivHist,RiskAversion,tail-tail,accepted
DrivHist,DrivingSkill,llm_resolved,accepted
DrivQuality,Accident,directed,accepted
DrivingSkill,DrivQuality,directed,accepted
GoodStudent,SocioEcon,tail-tail,accepted
MakeModel,RuggedAuto,partial,accepted
MakeModel,SocioEcon,partial,accepted
MakeModel,CarValue,llm_resolved,accepted
MedCost,Accident,tail-tail,accepted
Mileage,Accident,llm_resolved,accepted
OtherCarCost,PropCost,directed,accepted
RiskAversion,AntiTheft,directed,accepted
RiskAversion,DrivHist,tail-tail,accepted
RiskAversion,DrivQuality,directed,accepted
RiskAversion,HomeBase,directed,accepted
RiskAversion,SeniorTrain,directed,accepted
RiskAversion,SocioEcon,tail-tail,accepted
RuggedAuto,Cushioning,directed,accepted
RuggedAuto,VehicleYear,llm_resolved,accepted
SocioEcon,GoodStudent,tail-tail,accepted
SocioEcon,HomeBase,directed,accepted
SocioEcon,RiskAversion,tail-tail,accepted
SocioEcon,Age,llm_resolved,accepted
SocioEcon,OtherCar,llm_resolved,accepted
SocioEcon,VehicleYear,llm_resolved,accepted
ThisCarCost,PropCost,directed,accepted
ThisCarDam,ThisCarCost,directed,accepted
VehicleYear,CarValue,llm_resolved,accepted
